term,definition,link,introduced_by_card_id
RCMP,"The Royal Canadian Mounted Police — Canada's national police force, which also acts as the provincial police in most provinces (all except Ontario and Quebec).",https://en.wikipedia.org/wiki/Royal_Canadian_Mounted_Police,5014
Musical Ride,A famous RCMP ceremonial performance where uniformed Mounties on horseback perform intricate formations — a well-known symbol of the force.,,12021
Charter of Rights and Freedoms,"Part of Canada's constitution (added in 1982) that guarantees Canadians' basic rights and freedoms — like freedom of speech, equality rights, and the right to a fair trial.",https://en.wikipedia.org/wiki/Canadian_Charter_of_Rights_and_Freedoms,2014
fundamental freedoms,"The Charter's four basic freedoms guaranteed to everyone in Canada: freedom of conscience and religion, freedom of thought and expression, freedom of peaceful assembly, and freedom of association.",,2049
mobility rights,"The Charter right letting Canadian citizens live, work, and travel freely anywhere in Canada.",,2028
coat of arms,"Canada's official heraldic symbol — a shield-and-crest design combining English, French, Scottish, and Irish emblems along with maple leaves, used on official documents and buildings.",https://en.wikipedia.org/wiki/Coat_of_arms_of_Canada,12076
A mari usque ad mare,"Canada's national motto, Latin for ""from sea to sea"" — it appears on the coat of arms.",,12082
Red Ensign,The flag Canada used for about 100 years before the current maple leaf flag was adopted in 1965 — it had the Union Jack in the corner and Canada's coat of arms.,https://en.wikipedia.org/wiki/Canadian_Red_Ensign,8472
Fleur-de-lys,A stylized lily symbol tied to French royal history — it's the central image on Quebec's flag.,,12055
Order of Canada,"Canada's own national honour, created in 1967, given to people who've made an outstanding contribution to the country.",https://en.wikipedia.org/wiki/Order_of_Canada,12168
Victoria Cross,The highest award for bravery available to Canadian and Commonwealth armed forces members.,https://en.wikipedia.org/wiki/Victoria_Cross,12174
Mace,"A ceremonial gold staff carried into the House of Commons before each sitting — it represents the authority of Parliament, and no formal business can happen without it present.",,12055
Peace Tower,"The tall clock tower on Parliament Hill in Ottawa, built as a memorial to Canadians who died in the First World War.",,12104
Books of Remembrance,Books kept inside the Peace Tower that record the names of every Canadian who has died in military service.,,12104
Stanley Cup,"The championship trophy of the National Hockey League, originally donated by a Governor General of Canada in 1892.",,8442
Grey Cup,"The championship trophy of the Canadian Football League, originally donated by a Governor General of Canada in 1909.",,8441
Snowbirds,"Canada's military air-show flight team, officially 431 Air Demonstration Squadron, known for their precision flying formations.",,12227
GATT,The General Agreement on Tariffs and Trade — a post-Second World War treaty that lowered trade barriers between countries. It eventually evolved into the World Trade Organization.,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade,8001
WTO,"The World Trade Organization — the international body that sets and enforces the rules of global trade between countries, including Canada.",,8002
NAFTA,"The North American Free Trade Agreement — a 1994 deal that removed most trade barriers between Canada, the United States, and Mexico.",https://en.wikipedia.org/wiki/North_American_Free_Trade_Agreement,8002
G8,A group of the world's major industrialized economies (including Canada) whose leaders meet regularly to coordinate on global economic issues.,,13028
Canada Health Act,The federal law that sets the rules every province's health care system has to follow in order to receive federal health funding.,,8041
Canada and Quebec Pension Plans,"Government pension programs (Quebec runs its own, separate from the rest of Canada) that workers pay into during their careers and draw retirement income from afterward, started in 1965.",,8062
Old Age Security,"A monthly government pension paid to most Canadians 65 and older, funded from general tax revenue rather than from contributions workers made during their careers.",,8061
Employment Insurance,"A government program that provides temporary income support to workers who lose their job, funded by contributions from workers and employers.",,8052
Canadian Shield,"A huge region of ancient, rocky terrain covering much of central and northern Canada — it's rich in minerals and forests but has poor farming soil.",https://en.wikipedia.org/wiki/Canadian_Shield,15032
Confederation Bridge,"The bridge connecting Prince Edward Island to mainland New Brunswick — at about 12.9 km, one of the longest bridges in the world over ice-covered water.",https://en.wikipedia.org/wiki/Confederation_Bridge,14049
Bay of Fundy,A bay between Nova Scotia and New Brunswick famous for having the highest tides in the world.,https://en.wikipedia.org/wiki/Bay_of_Fundy,14067
Acadians,"French colonists who settled the Maritime provinces starting in 1604 — many were forcibly deported by the British in the 1750s, an event known as the Great Upheaval.",https://en.wikipedia.org/wiki/Acadians,3196
Anglophone,Someone whose first or main language is English.,,12148
Francophone,Someone whose first or main language is French.,,8452
Métis,"A distinct Indigenous people descended from historical unions between First Nations and European (mostly French) settlers, with their own culture and language.",https://en.wikipedia.org/wiki/M%C3%A9tis_in_Canada,3091
Inuktitut,"The traditional language of the Inuit, and one of the official languages of Nunavut.",,3121
First Nations,"A term for the Indigenous peoples of Canada who are not Inuit or Métis — there are over 600 First Nations across the country, each with its own culture and history.",,3091
reserve,Land set aside by the federal government specifically for the use of a First Nation.,,10331
Nunavut,"Canada's youngest and northernmost territory, created in 1999, with a mostly Inuit population. The name means ""our land"" in Inuktitut.",https://en.wikipedia.org/wiki/Nunavut,5152
Mackenzie River,"North America's second-longest river system, flowing through the Northwest Territories to the Arctic Ocean.",,14121
Canadian Rangers,"A part-time reserve unit of the Canadian Armed Forces made up mostly of Indigenous and local volunteers, who patrol and watch over Canada's remote northern regions.",,18123
NATO,"The North Atlantic Treaty Organization — a military alliance of Canada, the U.S., and mostly-European countries, formed after the Second World War, where an attack on one member is treated as an attack on all.",https://en.wikipedia.org/wiki/NATO,8002
NORAD,The North American Aerospace Defence Command — a joint Canada-U.S. military command that watches North American airspace for threats.,,8101
La Francophonie,"An international organization of French-speaking countries and governments, which Canada helped found in 1970.",,8171
Commonwealth,"A voluntary association of mostly former British colonies, including Canada, that grew out of the British Empire. The Sovereign serves as its ceremonial head.",https://en.wikipedia.org/wiki/Commonwealth_of_Nations,7131
Canadarm,A robotic arm designed and built in Canada that was used on NASA's Space Shuttle to move cargo and help with repairs in orbit.,https://en.wikipedia.org/wiki/Canadarm,8472
New France,"France's North American colony, founded in the early 1600s and centred on the St. Lawrence River in what's now Quebec. At its peak it stretched from Hudson Bay down to the Gulf of Mexico, but Britain took it over after defeating France at the Plains of Abraham in 1759.",https://en.wikipedia.org/wiki/New_France,4093
Aboriginal,"The term Canada's citizenship material and Charter of Rights use for the country's original inhabitants as a group — First Nations, Inuit, and Métis together. They're one of Canada's three ""founding peoples,"" alongside the French and the British; ""Indigenous"" is the more commonly used word today, but ""Aboriginal"" remains the official legal wording.",https://en.wikipedia.org/wiki/Indigenous_peoples_in_Canada,2062
Canadiens,"The name French-speaking Catholic settlers of New France called themselves (also ""Habitants""). After Britain took over the colony in 1763, the Quebec Act of 1774 let them keep their Catholic faith, French civil law, and way of life.",,5075
Hudson's Bay Company,A British fur-trading company chartered in 1670 and given exclusive trading rights over the huge Hudson Bay watershed (Rupert's Land). It dominated Canada's early fur trade for two centuries before selling its territory to the new Canadian government in 1869.,https://en.wikipedia.org/wiki/Hudson%27s_Bay_Company,4129
Rupert's Land,"The vast territory draining into Hudson Bay — covering most of today's Prairies, northern Ontario and Quebec, and part of the Arctic — that Britain granted to the Hudson's Bay Company in 1670. Canada bought it in 1869, and it later became the base for Manitoba, the Northwest Territories, and Nunavut.",https://en.wikipedia.org/wiki/Rupert%27s_Land,6001
Fort Garry,"A Hudson's Bay Company fort at the meeting point of the Red and Assiniboine rivers, seized by Louis Riel and the Métis in the 1869-70 Red River uprising. It later grew into the city of Winnipeg.",,5053
Voyageurs,"French-Canadian canoemen hired by fur-trading companies to paddle trade goods and furs along the rivers and lakes of the fur-trade routes, often forming close alliances with First Nations along the way.",,4135
Coureurs des bois,"French for ""runners of the woods"" — independent, unlicensed fur traders (unlike the company-employed voyageurs) who lived and traded directly with First Nations deep in the woods, without a fur company's permission.",,4136
Residential schools,"Government-funded, church-run boarding schools that operated from the 1800s to 1996, where Aboriginal children were often forcibly separated from their families with the goal of assimilating them into non-Indigenous culture. Conditions were frequently poorly funded and abusive, and the federal government formally apologized in 2008.",https://en.wikipedia.org/wiki/Canadian_Indian_residential_school_system,3061
CPR,"Short for the Canadian Pacific Railway — the transcontinental railway completed in 1885, financed by British and American investors and built largely by European and Chinese labourers, that physically linked Canada from coast to coast and is often called a symbol of the country's unity.",https://en.wikipedia.org/wiki/Canadian_Pacific_Railway,6042
